race_5cat,inc_4cat_50k,educ_4cat,ppagecat,ppgender,B2,B3,EF1,EF2,atleast_okay,weight
White,"Less than $25,000",Bachelor's degree or more,25-34,Male,Just getting by,Somewhat worse off,Yes,,No,0.6369
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,1.0625
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.9392
Black,"$25,000–$49,999",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.8602
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,No,Yes,Yes,0.6927
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.4976
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.858
White,"$25,000–$49,999",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,Yes,,Yes,0.9064
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.1454
White,"$25,000–$49,999",Bachelor's degree or more,55-64,Female,Finding it difficult to get by,Somewhat worse off,Yes,,No,0.5971
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.8499
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,45-54,Male,Doing okay,Somewhat better off,Yes,,Yes,1.6128
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.4877
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.8439
Other,"$25,000–$49,999",High school degree or GED,75+,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.4789
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,About the same,No,Yes,Yes,0.8514
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Doing okay,About the same,Yes,,Yes,0.5461
White,"$25,000–$49,999",Bachelor's degree or more,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4045
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.4364
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Finding it difficult to get by,Much worse off,No,No,No,0.8264
White,"$25,000–$49,999",Some college/technical or associates degree,25-34,Male,Just getting by,About the same,No,No,No,1.9334
White,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.7439
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Female,Just getting by,Somewhat worse off,No,Yes,No,0.6356
White,"$100,000 or more",Some college/technical or associates degree,35-44,Female,Doing okay,About the same,No,Yes,Yes,1.5012
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat worse off,No,No,Yes,1.3021
Black,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,About the same,Yes,,Yes,0.8361
White,"$25,000–$49,999",Less than a high school degree,65-74,Male,Just getting by,About the same,Yes,,No,1.129
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6324
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6762
White,"$25,000–$49,999",High school degree or GED,35-44,Male,Just getting by,Somewhat worse off,No,No,No,1.5249
Asian,"$100,000 or more",High school degree or GED,25-34,Female,Doing okay,Somewhat better off,No,No,Yes,3.1102
Asian,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,About the same,No,Yes,Yes,1.3755
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.1371
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Doing okay,About the same,Yes,,Yes,0.5866
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6196
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat better off,No,Yes,Yes,0.6523
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,Yes,,Yes,0.7282
Black,"Less than $25,000",High school degree or GED,35-44,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.8227
Black,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Much better off,Yes,,Yes,1.1221
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Much better off,Yes,,Yes,0.5461
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6762
White,"Less than $25,000",Some college/technical or associates degree,35-44,Female,Finding it difficult to get by,About the same,No,No,No,1.8021
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Living comfortably,About the same,No,Yes,Yes,0.6805
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.0696
Other,"$50,000–$99,999",High school degree or GED,65-74,Male,Doing okay,About the same,No,No,Yes,3.1983
White,"$25,000–$49,999",Some college/technical or associates degree,45-54,Male,Living comfortably,About the same,No,Yes,Yes,0.6644
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,About the same,No,Yes,Yes,0.7022
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.9808
White,"$25,000–$49,999",High school degree or GED,75+,Male,Doing okay,About the same,Yes,,Yes,0.992
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.3401
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Doing okay,About the same,Yes,,Yes,0.7058
White,"$50,000–$99,999",High school degree or GED,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.9671
White,"Less than $25,000",Bachelor's degree or more,25-34,Male,Doing okay,About the same,No,Yes,Yes,0.458
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.1754
White,"$50,000–$99,999",High school degree or GED,75+,Male,Living comfortably,Much better off,Yes,,Yes,0.9392
Black,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,1.2465
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,No,Yes,Yes,0.9672
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,Yes,,Yes,0.71
White,"$100,000 or more",High school degree or GED,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.0698
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Doing okay,Much better off,Yes,,Yes,0.5785
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.8104
Hispanic,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.0863
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Doing okay,About the same,No,No,Yes,0.5461
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,Yes,,Yes,0.6517
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.4976
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.9392
Other,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,Yes,,Yes,0.4788
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.7563
Black,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,Yes,,Yes,0.9777
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.4332
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6978
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Just getting by,About the same,No,Yes,No,0.8548
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4666
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,Yes,,Yes,0.7727
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.9182
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6604
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Female,Finding it difficult to get by,Much worse off,No,No,No,0.6005
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.0279
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.4364
White,"Less than $25,000",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,Yes,,Yes,0.483
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Doing okay,About the same,Yes,,Yes,1.5398
Asian,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Doing okay,About the same,Yes,,Yes,1.2881
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,About the same,Yes,,Yes,0.6324
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.3783
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.4786
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.1436
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.7856
Black,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Just getting by,Somewhat better off,No,Yes,No,0.7595
Other,"$50,000–$99,999",High school degree or GED,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.6041
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.7033
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,About the same,No,Yes,Yes,0.5601
Black,"$100,000 or more",Bachelor's degree or more,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.6731
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.6927
Hispanic,"$50,000–$99,999",Less than a high school degree,45-54,Male,Just getting by,Somewhat worse off,Yes,,No,2.028
White,"$100,000 or more",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.9392
White,"$25,000–$49,999",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,Yes,,Yes,0.8799
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.5107
White,"Less than $25,000",High school degree or GED,75+,Female,Just getting by,About the same,No,No,No,0.6958
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Finding it difficult to get by,Much worse off,No,Yes,No,0.8111
White,"$50,000–$99,999",High school degree or GED,55-64,Female,Doing okay,About the same,Yes,,Yes,1.0342
White,"$100,000 or more",Some college/technical or associates degree,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7147
White,"$100,000 or more",High school degree or GED,45-54,Male,Doing okay,About the same,Yes,,Yes,0.9496
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.0171
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.2891
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat worse off,No,Yes,Yes,0.6176
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,Yes,,Yes,0.8895
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Finding it difficult to get by,About the same,Yes,,No,1.2416
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Doing okay,Somewhat better off,Yes,,Yes,0.9681
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.5945
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.92
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.4531
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6324
White,"Less than $25,000",Less than a high school degree,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.2967
White,"$100,000 or more",Bachelor's degree or more,35-44,Female,Doing okay,Much worse off,Yes,,Yes,1.5012
White,"$25,000–$49,999",Bachelor's degree or more,55-64,Male,Just getting by,Somewhat worse off,Yes,,No,0.4754
Other,"$100,000 or more",Some college/technical or associates degree,35-44,Female,Finding it difficult to get by,Much worse off,No,No,No,0.7118
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,Much better off,Yes,,Yes,1.0899
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.668
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.6936
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,No,Yes,Yes,0.8301
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.247
Hispanic,"$100,000 or more",Bachelor's degree or more,25-34,Female,Doing okay,About the same,Yes,,Yes,1.0752
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.4447
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.7639
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.7818
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.9473
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,No,Yes,Yes,0.5461
Black,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,About the same,No,Yes,Yes,0.9773
Other,"$50,000–$99,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.5386
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Doing okay,About the same,Yes,,Yes,0.4666
White,"$50,000–$99,999",High school degree or GED,25-34,Male,Living comfortably,Somewhat better off,No,No,Yes,1.1566
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.1371
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,Yes,,Yes,0.9328
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.2756
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.5601
